age,sex,value,lid
19,2,158.5752011669449,1
11,1,138.061348939972,1
17,1,166.9912372407269,1
15,2,155.6123958796781,1
13,2,151.1463165497033,1
8,3,123.6169719368677,1
9,3,128.7374379011905,1
14,2,153.8596266512731,1
5,2,107.6200591440953,1
14,3,155.3907800230749,1
10,1,133.0813267778526,1
11,3,139.6800890539998,1
6,3,113.2313312741261,1
10,3,134.0558945994655,1
9,1,128.272481090103,1
17,3,162.2365705931671,1
6,1,113.1691745809019,1
6,2,113.2949767796482,1
11,2,141.3369479438317,1
10,2,135.0540598149697,1
18,3,163.3733254205675,1
9,2,129.21378872391,1
14,1,156.8898324864933,1
16,3,160.768506728282,1
13,1,150.5086719154163,1
15,3,158.6228991599182,1
18,1,168.7152568355685,1
5,3,107.5651588495499,1
12,3,145.3878680621056,1
8,2,123.8143907246214,1
5,1,107.5115224164097,1
12,2,147.0313117248314,1
19,3,164.5204580587188,1
15,1,161.5719521975385,1
16,1,164.7548531907862,1
7,1,118.4287546238822,1
16,2,156.6996906646046,1
19,1,170.3545218939969,1
7,2,118.5994198225856,1
18,2,157.923745347935,1
13,3,150.8239915186944,1
7,3,118.5130597140642,1
12,1,143.7811683417745,1
8,1,123.4242803438732,1
17,2,157.3838911563371,1
5,3,109.3748562324636,2
13,3,152.1850999137373,2
13,2,151.4855182072053,2
8,3,125.7347341922033,2
12,2,147.6813880269717,2
12,1,146.2723352379622,2
15,1,163.3970245031938,2
5,2,109.3902282016183,2
9,1,130.8789751511963,2
8,1,125.9272197290717,2
5,1,109.3607474313103,2
6,1,115.3290685377454,2
17,2,156.9223629945148,2
9,2,130.7423209526626,2
10,2,136.3358631420842,2
14,2,153.942161776274,2
11,3,141.4531914142709,2
14,3,156.5761833335573,2
11,2,142.3150044758628,2
7,2,120.4702699051565,2
14,1,158.9878873176861,2
17,1,167.9552728833903,2
19,1,169.5970430928353,2
10,1,135.7259664472031,2
7,3,120.6486481711537,2
13,1,152.8253388597799,2
18,2,157.2423931779671,2
12,3,146.9455043161073,2
17,3,162.6733756182162,2
8,2,125.5242375278593,2
10,3,136.0171803672026,2
9,3,130.8137268916425,2
18,1,168.9785432214137,2
19,3,163.8113071132957,2
16,3,161.524280451303,2
18,3,163.3618376773398,2
15,2,155.4946182213547,2
16,1,166.2186752133624,2
6,3,115.2623606974253,2
7,1,120.8119224590395,2
16,2,156.4101679172914,2
19,2,157.5078953397277,2
15,3,159.6176000617083,2
6,2,115.189578393125,2
11,1,140.6653658219084,2
16,3,169.6075519073663,3
11,3,148.267900720863,3
7,1,127.0113214598507,3
15,2,162.9946924234016,3
5,1,115.2806124099311,3
5,2,113.5198864136559,3
14,3,164.3525978697423,3
11,1,147.852701988283,3
13,2,158.6541522011672,3
10,3,142.4552783351669,3
17,3,170.8060451038207,3
10,2,142.2864171403506,3
10,1,142.6156297824441,3
7,2,125.1364177922964,3
6,3,120.4679481738718,3
9,3,136.9243639817199,3
9,1,137.5340098187226,3
8,3,131.5291790540552,3
6,2,119.5226412228155,3
12,1,153.8211047186342,3
18,3,171.4290012517916,3
13,1,160.7377836238322,3
7,3,126.0993474506994,3
19,3,171.810233991405,3
12,3,154.1540415883313,3
8,2,130.6484584605698,3
11,2,148.7052680597643,3
14,1,167.2230824479042,3
12,2,154.5046365179832,3
19,2,164.8490244046207,3
9,2,136.2827344213498,3
17,2,164.3358865204971,3
16,1,175.0204191778682,3
8,1,132.3650023190672,3
16,2,163.8991371114793,3
14,2,161.3341753339941,3
6,1,121.3633935093069,3
15,3,167.5813343234102,3
15,1,171.9380974640202,3
18,1,177.8977225328279,3
18,2,164.5661735715317,3
13,3,159.7224389046741,3
19,1,178.3515355708631,3
17,1,176.9252021572635,3
5,3,114.4237159143682,3
5,1,112.8608635403863,4
5,2,110.9930646880113,4
13,3,156.3116310456848,4
14,3,160.4827969723821,4
12,3,151.1087997702157,4
17,1,171.3618880733285,4
16,1,170.1308425635781,4
15,2,158.4110363080972,4
15,3,163.1412900822818,4
10,3,139.878690107714,4
5,3,111.9458808990167,4
11,3,145.5056826337494,4
14,2,157.3146388443422,4
17,2,158.8625336121633,4
9,3,134.4633969365194,4
19,1,172.3994439447082,4
18,2,158.9117351115631,4
13,2,155.1405213155363,4
8,2,128.4813416400434,4
8,1,129.7975096676281,4
12,2,151.4302867486172,4
13,1,157.4385801914793,4
18,3,165.5215877733883,4
8,3,129.1525447053666,4
11,2,146.0073692508941,4
6,2,117.2398293047776,4
7,1,124.5039003777866,4
6,3,118.0854862436056,4
6,1,118.8977012034554,4
10,2,139.8624068019109,4
19,3,165.9299889371803,4
14,1,163.5336370612879,4
12,1,150.7995862097952,4
16,3,164.5697978617459,4
18,1,171.9227594834097,4
17,3,165.2193913743625,4
16,2,158.805449432484,4
9,2,134.0227148382053,4
7,2,122.975156412516,4
10,1,139.8943434218454,4
11,1,145.0232254309177,4
7,3,123.754881172589,4
15,1,167.6999246287892,4
19,2,159.2669127006687,4
9,1,134.8870021233226,4
17,1,176.9218496563373,5
19,1,177.1109757885117,5
13,1,162.1559883101985,5
12,2,155.632081394963,5
7,2,126.2580160752549,5
18,3,170.3937369536336,5
14,1,168.6584035073205,5
5,3,113.4928037060092,5
7,1,126.3290597138199,5
13,3,160.8156571251464,5
19,2,163.4478152967428,5
9,1,137.7015515943055,5
5,1,113.6916652386851,5
15,2,162.7779266502428,5
15,1,173.1626148540393,5
16,2,163.2089565856953,5
15,3,168.1283299887166,5
11,2,150.1313135806197,5
11,1,148.8284300732357,5
10,2,143.869953052365,5
6,2,120.0907270862485,5
13,2,159.3939316094419,5
8,1,132.1130331257124,5
8,3,132.0987234271259,5
12,3,155.3464007172329,5
14,2,161.6195897794283,5
14,3,165.2444168884334,5
10,1,143.2075049597886,5
18,1,177.1140503176667,5
8,2,132.0835879698682,5
10,3,143.5294554269801,5
9,3,137.7790989155487,5
6,1,120.2293820685005,5
7,3,126.2945137274466,5
18,2,163.2228532120431,5
17,3,170.2954969058236,5
12,1,155.0765938826631,5
5,2,113.2831280489347,5
19,3,170.5139905376836,5
16,3,169.6785252770073,5
6,3,120.1619158505626,5
17,2,163.2385015000434,5
16,1,175.7577776745199,5
11,3,149.4616396679903,5
9,2,137.8611336372622,5
13,1,157.0674434013649,6
18,2,161.8035448487335,6
9,3,134.2802575486448,6
14,1,163.3615362068796,6
13,3,156.9627013618957,6
17,3,167.0069570265219,6
19,3,167.8556918059965,6
12,3,151.5333265768968,6
15,3,164.3985370654495,6
19,1,173.2090618483,6
14,2,159.3155547463204,6
16,2,161.4145154915391,6
8,1,128.5695325133857,6
5,2,111.6448177832276,6
5,1,111.2808552149781,6
19,2,162.1003737559554,6
9,1,133.8320918149986,6
12,2,152.8783721849343,6
12,1,150.2798816672406,6
11,2,147.1883477577728,6
7,3,123.3254545161629,6
11,3,145.7092541320025,6
6,1,117.4337221320009,6
16,3,166.1246810911036,6
18,3,167.4712601319001,6
16,1,170.5173438194853,6
8,2,129.0782556109943,6
10,3,139.8783817782377,6
15,2,160.7404486376862,6
17,2,161.6280748039822,6
6,3,117.609960951623,6
10,2,140.7971576426969,6
10,1,139.0199173429487,6
13,2,156.850119449957,6
17,1,172.0340556323809,6
11,1,144.3286914750029,6
6,2,117.7975744947644,6
8,3,128.8158491672628,6
7,2,123.5146942232888,6
5,3,111.4571110010991,6
7,1,123.14768778535,6
15,1,167.7990896875976,6
14,3,161.4128762387646,6
9,2,134.7587464015044,6
18,1,172.7612915662973,6
17,2,164.7081701394333,7
8,2,131.6710705953846,7
16,3,170.8688980325531,7
19,2,164.6647493806124,7
11,1,149.76329959253,7
18,1,178.5531711858152,7
18,2,164.6574040792125,7
7,3,126.9166195114581,7
9,1,138.9032605500263,7
5,2,113.792010787483,7
8,1,133.4585783295652,7
12,3,155.9312777819301,7
10,2,143.6456666268211,7
13,1,162.9372436918855,7
6,1,121.876920281952,7
6,3,121.0078401223809,7
19,1,178.5963468460796,7
13,2,160.0470891930129,7
16,2,164.6641579760268,7
12,1,155.9123564275763,7
11,3,149.9502792887591,7
9,3,138.2127507416705,7
6,2,120.0898389278797,7
5,3,114.6691228714945,7
12,2,155.9513215499367,7
15,3,169.1776735314422,7
18,3,171.8040322118073,7
15,1,174.0040117844888,7
7,2,125.9605472597195,7
5,1,115.4980036397808,7
13,3,161.5348584036036,7
14,2,162.604768340516,7
7,1,127.8233509296167,7
10,3,143.9669055886938,7
16,1,176.7426271166912,7
19,3,171.8598214142659,7
11,2,150.1482619211003,7
9,2,137.4838542950557,7
14,3,166.1261503302723,7
10,1,144.2703642532974,7
15,2,164.0557272793377,7
14,1,169.441008490288,7
8,3,132.5880873563531,7
17,3,171.6076451394519,7
17,1,178.1537575413635,7
5,2,113.0114270980403,8
7,3,125.8871710836421,8
14,1,165.7771014886872,8
12,1,153.0332090127909,8
