year,sex,value,note,lid
1950,1,190.4480071293299,,1
1950,2,182.4246653014782,,1
1950,3,186.4887195713925,,1
1951,1,184.5968721886341,,1
1951,2,176.9080892897781,,1
1951,3,180.7976171788814,,1
1952,1,179.2954841011843,,1
1952,2,171.985670952669,,1
1952,3,175.6754454384366,,1
1953,1,174.3711875904364,,1
1953,2,167.3946189387336,,1
1953,3,170.9104661467836,,1
1954,1,169.9129578474787,,1
1954,2,163.1091952634179,,1
1954,3,166.5335297567481,,1
1955,1,165.8985288356566,,1
1955,2,158.8347499850275,,1
1955,3,162.3887469791459,,1
1956,1,161.7926752948928,,1
1956,2,154.7400820504015,,1
1956,3,158.2891976907159,,1
1957,1,161.1950280036408,,1
1957,2,154.5951494129947,,1
1957,3,157.9167780684706,,1
1958,1,157.4562583377294,,1
1958,2,150.8826191062366,,1
1958,3,154.191809386535,,1
1959,1,150.5942357127693,,1
1959,2,143.8474269257982,,1
1959,3,147.2446276624982,,1
1960,1,147.2767168799025,,1
1960,2,140.727369717362,,1
1960,3,144.025580923998,,1
1961,1,143.8076859178189,,1
1961,2,137.5719242506676,,1
1961,3,140.712564652147,,1
1962,1,140.718928972308,,1
1962,2,134.8979907109727,,1
1962,3,137.8307542318403,,1
1963,1,137.6859818050349,,1
1963,2,132.0095745382166,,1
1963,3,134.8707213919007,,1
1964,1,134.5971686641704,,1
1964,2,129.196490520816,,1
1964,3,131.9196475869233,,1
1965,1,132.3008754854745,,1
1965,2,126.9154396615608,,1
1965,3,129.6322244387833,,1
1966,1,130.7012271914489,,1
1966,2,126.0301895385376,,1
1966,3,128.3873127097748,,1
1967,1,127.1711768866985,,1
1967,2,122.9020971295994,,1
1967,3,125.0565319540028,,1
1968,1,123.8803715794782,,1
1968,2,119.9617948303862,,1
1968,3,121.9393253016227,,1
1969,1,121.4548212826009,,1
1969,2,117.8452118217675,,1
1969,3,119.6669250356112,,1
1970,1,118.7614864450388,,1
1970,2,115.3996210222629,,1
1970,3,117.0964199531864,,1
1971,1,116.2000664776902,,1
1971,2,112.8042936673603,,1
1971,3,114.5185040283263,,1
1972,1,114.5682258834873,,1
1972,2,110.8787299764148,,1
1972,3,112.7417790933387,,1
1973,1,111.3384900713815,,1
1973,2,107.4471067484714,,1
1973,3,109.4124428364174,,1
1974,1,109.7038869775981,,1
1974,2,105.7746625205501,,1
1974,3,107.7592615556145,,1
1975,1,107.01199986989,,1
1975,2,102.7497873899453,,1
1975,3,104.9028096998175,,1
1976,1,100.992875350858,,1
1976,2,98.43421471202618,,1
1976,3,99.72685996453833,,1
1977,1,97.88585351956813,,1
1977,2,95.33547211759964,,1
1977,3,96.62496932040665,,1
1978,1,95.15517600627132,,1
1978,2,92.56020230682793,,1
1978,3,93.87230836212501,,1
1979,1,92.23485282415844,,1
1979,2,89.45259602201072,,1
1979,3,90.85924744955753,,1
1980,1,89.8150520789972,,1
1980,2,86.98240925533507,,1
1980,3,88.41431024217583,,1
1981,1,87.66705706737766,,1
1981,2,84.79264470777781,,1
1981,3,86.24549998320219,,1
1982,1,85.36119172980506,,1
1982,2,82.40846307646865,,1
1982,3,83.90101918501658,,1
1983,1,88.33529498178282,,1
1983,2,85.74104084571044,,1
1983,3,87.0526959695016,,1
1984,1,86.3889777296889,,1
1984,2,83.75428441310694,,1
1984,3,85.08681334176072,,1
1985,1,84.24844812969845,,1
1985,2,81.51424506322446,,1
1985,3,82.89713861777037,,1
1986,1,81.47355286626757,,1
1986,2,78.70891035733152,,1
1986,3,80.10699273649202,,1
1987,1,77.24018568112656,,1
1987,2,74.10225990154528,,1
1987,3,75.68905129542458,,1
1988,1,79.10885027077741,,1
1988,2,76.21814630074653,,1
1988,3,77.67986305426867,,1
1989,1,74.84282876631943,,1
1989,2,71.57592775833088,,1
1989,3,73.22821634324772,,1
1990,1,74.01642270973818,,1
1990,2,70.81260796796307,,1
1990,3,72.43328236064694,,1
1991,1,75.01631002360665,,1
1991,2,71.71517751830847,,1
1991,3,73.38540092494506,,1
1992,1,74.22171327545679,,1
1992,2,71.04703879876084,,1
1992,3,72.65348672910122,,1
1993,1,71.34659900329932,,1
1993,2,67.86629985430248,,1
1993,3,69.62791198042862,,1
1994,1,70.86299291155484,,1
1994,2,67.66222846774006,,1
1994,3,69.28256781940544,,1
1995,1,68.32446353638267,,1
1995,2,64.80980547243742,,1
1995,3,66.58938091695276,,1
1996,1,67.06741742479517,,1
1996,2,63.58214017757368,,1
1996,3,65.34689577475206,,1
1997,1,65.32713652930688,,1
1997,2,61.84080833551431,,1
1997,3,63.60607293878595,,1
1998,1,64.45443567928145,,1
1998,2,60.95258756495214,,1
1998,3,62.72563994949287,,1
1999,1,60.81854427306244,,1
1999,2,57.43643958688605,,1
1999,3,59.14840763679796,,1
2000,1,58.42558160212275,,1
2000,2,55.06587925957251,,1
2000,3,56.76607554026858,,1
2001,1,55.84666759814449,,1
2001,2,52.42300910756692,,1
2001,3,54.15540509287264,,1
2002,1,53.27566132088934,,1
2002,2,49.95161229141487,,1
2002,3,51.6334572163688,,1
2003,1,50.68886704893594,,1
2003,2,47.35773418727662,,1
2003,3,49.04291973957442,,1
2004,1,48.33749764374895,,1
2004,2,45.14421080788378,,1
2004,3,46.7593876271295,,1
2005,1,45.79456228384304,,1
2005,2,42.67883347588108,,1
2005,3,44.25454328381362,,1
2006,1,43.16266124510582,,1
2006,2,40.12581198891007,,1
2006,3,41.66165632040209,,1
2007,1,40.80931458127823,,1
2007,2,37.88570834379901,,1
2007,3,39.36448297238049,,1
2008,1,38.79364284292974,,1
2008,2,35.95756956209695,,1
2008,3,37.39231132196619,,1
2009,1,38.00271264290011,,1
2009,2,35.39557520950331,,1
2009,3,36.71480454121612,,1
2010,1,35.26579353470305,,1
2010,2,32.68832208807382,,1
2010,3,33.99293071477516,,1
2011,1,35.15848334207361,,1
2011,2,32.83959128133873,,1
2011,3,34.01361727691221,,1
2012,1,32.12691918974908,,1
2012,2,29.79563680706887,,1
2012,3,30.97614437248586,,1
2013,1,30.59878375005731,,1
2013,2,28.34919038951755,,1
2013,3,29.48837024010809,,1
2014,1,30.20359135068684,,1
2014,2,28.05477972850823,,1
2014,3,29.14289403063219,,1
2015,1,29.210253919419,,1
2015,2,27.21517430717901,,1
2015,3,28.22535259518144,,1
2016,1,28.18508338619752,,1
2016,2,26.34982333738434,,1
2016,3,27.27905054160551,,1
2017,1,27.48896940544743,,1
2017,2,25.77890068197175,,1
2017,3,26.64482417884451,,1
2018,1,25.50701599322669,,1
2018,2,23.77459797786041,,1
2018,3,24.65193480153749,,1
2019,1,24.70951641244956,,1
2019,2,23.04992941124418,,1
2019,3,23.89046188861377,,1
2020,1,23.6324796902998,,1
2020,2,21.87507776569841,,1
2020,3,22.76518279800377,,1
2021,1,23.0146653304778,,1
2021,2,21.23512527593929,,1
2021,3,22.13645329854286,,1
2022,1,23.18782889677507,,1
2022,2,21.54446796699339,,1
2022,3,22.37674017771774,,1
2023,1,21.0126558282675,,1
2023,2,19.30823603992904,,1
2023,3,20.17154952841926,,1
1950,1,114.8632181233644,,2
1950,2,120.848662642464,,2
1950,3,117.7862787785318,,2
1951,1,108.7965853621705,,2
1951,2,114.6437561905278,,2
1951,3,111.65255829276,,2
1952,1,102.5686637128181,,2
1952,2,108.2837401825338,,2
1952,3,105.3630428974781,,2
1953,1,97.92010729933808,,2
1953,2,103.5453292273373,,2
1953,3,100.6734038885998,,2
1954,1,93.35078998482248,,2
1954,2,98.95351641430273,,2
1954,3,96.0945548686738,,2
1955,1,89.29987272198237,,2
1955,2,94.92011497323038,,2
1955,3,92.05219035551582,,2
1956,1,85.81616256480629,,2
1956,2,91.47854385949439,,2
1956,3,88.58856043763596,,2
1957,1,82.75475992094705,,2
1957,2,88.53712999053964,,2
1957,3,85.5850870152518,,2
1958,1,79.60266770108193,,2
1958,2,85.38535952052185,,2
1958,3,82.43226037756035,,2
1959,1,99.71536634516964,,2
1959,2,106.7322888267657,,2
1959,3,103.1490005160386,,2
1960,1,116.8858088452268,,2
1960,2,125.1002949876783,,2
1960,3,120.9053041792467,,2
1961,1,94.65357759040882,,2
1961,2,101.9366075557955,,2
1961,3,98.21536668274922,,2
1962,1,71.29516376520894,,2
1962,2,77.38216426005174,,2
1962,3,74.27074796944034,,2
1963,1,68.32336399164917,,2
1963,2,74.15342365659328,,2
1963,3,71.17256237626701,,2
1964,1,64.47329589498763,,2
1964,2,69.70986172571092,,2
1964,3,67.03142504852377,,2
1965,1,65.49732365987593,,2
